,ecg,time
115200,-40.43415638900349,449.99935524266516
115201,-24.537366774367605,450.0032614870683
115202,-11.811856223102353,450.0071677314715
115203,-7.822510643674466,450.01107397587464
115204,-11.530538538283146,450.0149802202778
115205,-17.246124223545927,450.0188864646809
115206,-19.54730099418672,450.02279270908406
115207,-16.742538157143127,450.0266989534872
115208,-10.510254735785722,450.03060519789034
115209,-3.0993147653259197,450.03451144229354
115210,4.700151988585708,450.0384176866967
115211,13.073679834545466,450.0423239310998
115212,21.337459354516092,450.04623017550296
115213,27.227539609102852,450.0501364199061
115214,28.45764469049775,450.05404266430924
115215,25.16700474198732,450.0579489087124
115216,20.765638625401706,450.0618551531156
115217,20.032056528313973,450.0657613975187
115218,25.815564018735916,450.06966764192185
115219,37.01927511754445,450.073573886325
115220,49.52122067725832,450.07748013072813
115221,59.27647001112695,450.0813863751313
115222,65.12890615179944,450.0852926195344
115223,69.22630912268662,450.0891988639376
115224,74.94485779874344,450.09310510834075
115225,84.15800073776812,450.0970113527439
115226,96.01158989246848,450.10091759714703
115227,107.9742611609609,450.10482384155017
115228,118.06125795016337,450.1087300859533
115229,126.2883283341059,450.11263633035645
115230,134.18185561611594,450.11654257475965
115231,142.8354226083852,450.1204488191628
115232,151.1945700583591,450.12435506356593
115233,156.05098856189585,450.12826130796907
115234,153.85001127537873,450.1321675523722
115235,142.98715249548937,450.13607379677535
115236,124.90468753252995,450.1399800411785
115237,103.22752356724581,450.1438862855817
115238,81.61161276325647,450.1477925299848
115239,61.80274255117897,450.15169877438797
115240,43.08143927018106,450.1556050187911
115241,23.202677215281824,450.15951126319425
115242,0.022080788712508514,450.1634175075974
115243,-27.173182101732152,450.1673237520005
115244,-57.158464016013,450.17122999640367
115245,-87.08978050352368,450.17513624080686
115246,-113.40913456061621,450.17904248521
115247,-133.07258160540152,450.18294872961314
115248,-144.74125090084095,450.1868549740163
115249,-149.3927111908306,450.1907612184194
115250,-149.85303816488982,450.19466746282257
115251,-149.26629274392974,450.1985737072257
115252,-149.27663903624904,450.2024799516289
115253,-149.07562669535068,450.20638619603204
115254,-146.01776344255353,450.2102924404352
115255,-137.4577943032982,450.2141986848383
115256,-122.59651073758877,450.21810492924146
115257,-103.12370532766897,450.2220111736446
115258,-82.31109813353278,450.22591741804774
115259,-63.257471401461224,450.22982366245094
115260,-47.458553395938,450.2337299068541
115261,-34.51329217017853,450.2376361512572
115262,-22.955222114127857,450.24154239566036
115263,-11.521733984788145,450.2454486400635
115264,-0.029114794598270155,450.24935488446664
115265,10.613880943934719,450.2532611288698
115266,19.141370561996403,450.257167373273
115267,24.85249730620957,450.2610736176761
115268,28.079635467767844,450.26497986207926
115269,29.900675204933982,450.2688861064824
115270,31.34750523287613,450.27279235088554
115271,32.74271750215141,450.2766985952887
115272,33.678507581092845,450.2806048396918
115273,33.58607865459737,450.284511084095
115274,32.306073417310394,450.28841732849816
115275,30.08453431818698,450.2923235729013
115276,27.030881971837815,450.29622981730444
115277,22.711786243555846,450.3001360617076
115278,16.52232477860798,450.3040423061107
115279,8.682185158595551,450.30794855051386
115280,0.8769925965369271,450.31185479491705
115281,-4.384137191181861,450.3157610393202
115282,-5.540630214615983,450.31966728372333
115283,-3.521990537669585,450.3235735281265
115284,-1.5778725716045117,450.3274797725296
115285,-3.1985148361327704,450.33138601693275
115286,-9.595026300593231,450.3352922613359
115287,-18.746983282794453,450.3391985057391
115288,-26.83626842447636,450.34310475014223
115289,-30.935440131533777,450.34701099454537
115290,-30.81264974873362,450.3509172389485
115291,-28.54114712707822,450.35482348335165
115292,-26.49755729631196,450.3587297277548
115293,-25.5945400950368,450.36263597215793
115294,-25.156010792415152,450.36654221656113
115295,-24.231423925137726,450.37044846096427
115296,-22.903925729336787,450.3743547053674
115297,-22.350373115190635,450.37826094977055
115298,-23.71179373457265,450.3821671941737
115299,-26.91796899897208,450.38607343857683
115300,-30.526394536464466,450.38997968297997
115301,-32.63500825276573,450.39388592738317
115302,-32.06018211976945,450.3977921717863
115303,-28.96452498676855,450.40169841618945
115304,-24.740022904896694,450.4056046605926
115305,-21.438826251651037,450.4095109049957
115306,-21.016131341852656,450.41341714939887
115307,-24.449957558199795,450.417323393802
115308,-30.93354490724924,450.4212296382052
115309,-37.71948338580623,450.42513588260834
115310,-41.1858164583729,450.4290421270115
115311,-38.89758781746605,450.4329483714146
115312,-31.3815479105428,450.43685461581777
115313,-22.12040876154611,450.4407608602209
115314,-15.433078747090207,450.44466710462405
115315,-13.638201298476455,450.4485733490272
115316,-15.64777764489962,450.4524795934304
115317,-18.07761663919081,450.4563858378335
115318,-17.9106122983594,450.46029208223666
115319,-14.520684286088667,450.4641983266398
115320,-9.571448633952347,450.46810457104294
115321,-5.258105199130647,450.4720108154461
115322,-2.712116907790416,450.4759170598492
115323,-1.9091614456640686,450.4798233042524
115324,-2.702359462453373,450.48372954865556
115325,-5.447134065962616,450.4876357930587
115326,-10.2808770082231,450.49154203746184
115327,-15.828057748380257,450.495448281865
115328,-19.07359639594996,450.4993545262681
115329,-17.2169683323033,450.50326077067126
115330,-10.256165596255915,450.50716701507446
115331,-1.9003421923333537,450.5110732594776
115332,2.4982636480578586,450.51497950388074
115333,-0.2525076655360947,450.5188857482839
115334,-8.630313806531447,450.522791992687
115335,-17.307346105675872,450.52669823709016
115336,-20.97875749997777,450.5306044814933
115337,-18.15222869800578,450.5345107258965
115338,-11.957082533082847,450.53841697029964
115339,-7.465705404395008,450.5423232147028
115340,-7.792563372368512,450.5462294591059
115341,-12.046279544471421,450.55013570350906
115342,-16.507738479116703,450.5540419479122
115343,-17.759738597964578,450.55794819231534
115344,-15.126229520707358,450.56185443671853
115345,-10.664424344204404,450.5657606811217
115346,-7.119424304999025,450.5696669255248
115347,-5.787677205471589,450.57357316992795
115348,-5.980981190572769,450.5774794143311
115349,-6.198070912111106,450.58138565873423
115350,-5.693533683697055,450.5852919031374
115351,-5.034488998888651,450.58919814754057
115352,-5.338873197688316,450.5931043919437
115353,-7.079810961109666,450.59701063634685
115354,-9.58479123401563,450.60091688075
115355,-11.57989278989762,450.60482312515313
115356,-12.154170771839159,450.6087293695563
115357,-11.242573880149791,450.6126356139594
115358,-9.310816667419228,450.6165418583626
115359,-6.733502321431773,450.62044810276575
115360,-3.6008088305470123,450.6243543471689
115361,-0.16905506392108605,450.62826059157203
115362,2.577049519369126,450.63216683597517
115363,3.016255701181092,450.6360730803783
115364,-0.13081800635948393,450.63997932478145
115365,-6.549411873395567,450.64388556918465
115366,-13.828656049879893,450.6477918135878
115367,-18.32862005827579,450.6516980579909
115368,-17.094237102764666,450.65560430239407
115369,-9.705088872976251,450.6595105467972
115370,1.133372938814382,450.66341679120035
115371,10.769455503074889,450.6673230356035
115372,15.026016577376229,450.6712292800067
115373,12.524828008409322,450.6751355244098
115374,5.490089156395358,450.67904176881297
115375,-1.6044044760238387,450.6829480132161
115376,-4.848621232169057,450.68685425761925
115377,-3.3908001221399338,450.6907605020224
115378,0.149091033300094,450.6946667464255
115379,1.7528043983815047,450.69857299082867
115380,-0.9130858913422029,450.70247923523186
115381,-6.823192550609056,450.706385479635
115382,-12.785201413534798,450.71029172403814
115383,-16.63824717789069,450.7141979684413
115384,-19.775778044418317,450.7181042128444
115385,-26.635675714056447,450.72201045724756
115386,-41.19171886190422,450.7259167016507
115387,-63.024272873249416,450.7298229460539
115388,-86.08659408451913,450.73372919045704
115389,-101.3123718134546,450.7376354348602
115390,-101.33597023789879,450.7415416792633
115391,-84.12600563783104,450.74544792366646
