n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
100024,-57.373046875,252.62451171875,113.22021484375,3.77001953125,1.361328125,1.84130859375
100025,-3.84521484375,225.40283203125,113.8916015625,4.1376953125,0.99169921875,1.61767578125
100026,22.76611328125,198.42529296875,104.30908203125,4.62646484375,0.47607421875,1.45361328125
100027,22.216796875,163.6962890625,82.58056640625,5.0947265625,-0.07421875,1.40087890625
100028,-2.197265625,124.755859375,52.24609375,5.3466796875,-0.4248046875,1.44970703125
100029,-37.41455078125,76.84326171875,15.68603515625,5.35595703125,-0.48486328125,1.484375
100030,-59.38720703125,28.99169921875,-15.44189453125,5.1005859375,-0.18359375,1.439453125
100031,-60.6689453125,-19.95849609375,-40.0390625,4.658203125,0.27685546875,1.416015625
100032,-42.8466796875,-59.99755859375,-54.62646484375,4.20068359375,0.67529296875,1.43505859375
100033,-8.85009765625,-91.6748046875,-62.19482421875,3.68701171875,0.99365234375,1.474609375
100034,27.52685546875,-112.060546875,-62.43896484375,3.240234375,1.0888671875,1.533203125
100035,62.92724609375,-125.18310546875,-58.9599609375,2.90283203125,1.01123046875,1.638671875
100036,86.42578125,-132.38525390625,-54.443359375,2.67333984375,0.8271484375,1.75927734375
100037,323.1201171875,-317.07763671875,12.939453125,1.40380859375,3.81103515625,11.50732421875
100038,321.10595703125,-215.63720703125,11.04736328125,-1.3681640625,-0.0595703125,-1.14794921875
100039,322.93701171875,-255.37109375,-5.4931640625,-2.5634765625,-0.73095703125,-0.65234375
100040,377.25830078125,-306.70166015625,6.28662109375,-0.91748046875,-0.1435546875,2.58349609375
100041,291.68701171875,-344.482421875,40.283203125,-0.765625,0.03759765625,1.15185546875
100042,204.40673828125,-373.046875,75.01220703125,0.08740234375,-0.33154296875,1.330078125
100043,99.365234375,-385.1318359375,103.21044921875,0.16162109375,0.1689453125,1.5498046875
100044,8.30078125,-372.25341796875,117.3095703125,0.4599609375,0.431640625,1.64892578125
100045,-23.0712890625,-362.060546875,119.2626953125,0.1884765625,0.24658203125,1.66845703125
100046,-33.50830078125,-350.03662109375,113.1591796875,-0.43115234375,0.54248046875,2.564453125
100047,-26.0009765625,-338.623046875,93.017578125,-0.12646484375,0.6435546875,2.01220703125
100048,-15.2587890625,-326.35498046875,63.29345703125,0.07666015625,0.6044921875,1.94921875
100049,-16.6015625,-315.24658203125,39.0625,0.18359375,0.47705078125,1.96728515625
100050,-25.390625,-315.97900390625,21.484375,0.0947265625,0.306640625,1.791015625
100051,-34.24072265625,-311.6455078125,11.16943359375,0.009765625,0.17626953125,1.4990234375
100052,-36.7431640625,-295.654296875,7.01904296875,0.068359375,0.048828125,1.34326171875
