n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0,-0.48828125,-0.18310546875,-0.3662109375,0.1083984375,-1.02783203125,0.05810546875
1,-0.244140625,-0.30517578125,-0.48828125,0.10693359375,-1.0283203125,0.05615234375
2,-0.42724609375,-0.42724609375,-0.54931640625,0.1044921875,-1.02783203125,0.0576171875
3,-0.30517578125,-0.3662109375,-0.6103515625,0.10693359375,-1.0263671875,0.0576171875
4,0.1220703125,-0.244140625,-0.6103515625,0.10791015625,-1.02392578125,0.056640625
5,-0.06103515625,-0.3662109375,-0.54931640625,0.10791015625,-1.0263671875,0.05615234375
6,-0.18310546875,-0.30517578125,-0.54931640625,0.10693359375,-1.02587890625,0.05322265625
7,-0.30517578125,-0.48828125,-0.54931640625,0.10546875,-1.0283203125,0.05419921875
8,-0.3662109375,-0.79345703125,-0.6103515625,0.10791015625,-1.0234375,0.056640625
9,-0.48828125,-1.0986328125,-0.6103515625,0.10693359375,-1.02099609375,0.05712890625
10,-0.48828125,-1.28173828125,-0.42724609375,0.1083984375,-1.02490234375,0.0556640625
11,-0.42724609375,-1.220703125,-0.30517578125,0.109375,-1.02490234375,0.05419921875
12,-0.48828125,-1.3427734375,-0.48828125,0.10302734375,-1.0283203125,0.0537109375
13,-0.48828125,-1.40380859375,-0.42724609375,0.1064453125,-1.02734375,0.0546875
14,-0.48828125,-1.220703125,-0.48828125,0.10693359375,-1.0244140625,0.056640625
15,-0.67138671875,-1.03759765625,-0.48828125,0.10693359375,-1.02490234375,0.05712890625
16,-0.9765625,-0.9765625,-0.42724609375,0.10888671875,-1.025390625,0.0556640625
17,-1.15966796875,-0.8544921875,-0.3662109375,0.109375,-1.025390625,0.05517578125
18,-1.3427734375,-0.79345703125,-0.42724609375,0.10546875,-1.0234375,0.05712890625
19,-1.28173828125,-0.8544921875,-0.42724609375,0.10546875,-1.02587890625,0.0546875
20,-1.3427734375,-0.91552734375,-0.244140625,0.1044921875,-1.02685546875,0.0546875
21,-1.28173828125,-0.9765625,-0.3662109375,0.107421875,-1.02978515625,0.05322265625
22,-1.03759765625,-0.8544921875,-0.42724609375,0.109375,-1.02685546875,0.05517578125
23,-0.9765625,-0.54931640625,-0.42724609375,0.1083984375,-1.0283203125,0.05419921875
24,-0.91552734375,-0.244140625,-0.42724609375,0.1064453125,-1.0302734375,0.0498046875
25,-0.67138671875,-0.244140625,-0.3662109375,0.1064453125,-1.02587890625,0.05908203125
26,-0.67138671875,-0.3662109375,-0.30517578125,0.10888671875,-1.02099609375,0.06201171875
27,-0.8544921875,-0.42724609375,-0.3662109375,0.10693359375,-1.02490234375,0.052734375
28,-1.03759765625,-0.54931640625,-0.3662109375,0.1064453125,-1.029296875,0.052734375
29,-0.79345703125,-0.42724609375,-0.3662109375,0.10693359375,-1.02685546875,0.0556640625
30,-0.6103515625,-0.42724609375,-0.42724609375,0.109375,-1.02880859375,0.05419921875
31,-0.79345703125,-0.1220703125,-0.48828125,0.10791015625,-1.02880859375,0.0546875
32,-0.9765625,-0.1220703125,-0.54931640625,0.10498046875,-1.02734375,0.0537109375
33,-0.9765625,0.0,-0.54931640625,0.107421875,-1.02587890625,0.0517578125
34,-1.03759765625,0.18310546875,-0.54931640625,0.10693359375,-1.02587890625,0.0537109375
35,-1.0986328125,0.06103515625,-0.6103515625,0.109375,-1.025390625,0.05224609375
36,-1.220703125,0.1220703125,-0.6103515625,0.10986328125,-1.02392578125,0.04833984375
37,-1.220703125,0.18310546875,-0.54931640625,0.10791015625,-1.02490234375,0.0537109375
38,-1.220703125,0.42724609375,-0.6103515625,0.1064453125,-1.02734375,0.05322265625
39,-1.40380859375,0.48828125,-0.67138671875,0.1103515625,-1.02783203125,0.05029296875
40,-1.40380859375,0.79345703125,-0.67138671875,0.10693359375,-1.0283203125,0.05126953125
41,-1.220703125,0.9765625,-0.8544921875,0.1044921875,-1.02734375,0.0498046875
42,-1.28173828125,1.03759765625,-0.9765625,0.10498046875,-1.0244140625,0.05322265625
