n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0,-0.244140625,0.1220703125,-0.54931640625,-0.0283203125,-0.9306640625,0.47998046875
1,-0.42724609375,0.06103515625,-0.42724609375,-0.03173828125,-0.93017578125,0.47705078125
2,-0.732421875,0.06103515625,-0.48828125,-0.02734375,-0.93115234375,0.4794921875
3,-0.9765625,0.1220703125,-0.42724609375,-0.029296875,-0.9296875,0.47802734375
4,-0.91552734375,0.1220703125,-0.3662109375,-0.02978515625,-0.93017578125,0.47705078125
5,-1.03759765625,0.1220703125,-0.48828125,-0.02783203125,-0.9287109375,0.47607421875
6,-1.03759765625,0.1220703125,-0.54931640625,-0.02978515625,-0.931640625,0.474609375
7,-0.91552734375,0.1220703125,-0.42724609375,-0.02734375,-0.93115234375,0.478515625
8,-0.8544921875,0.18310546875,-0.42724609375,-0.025390625,-0.9296875,0.47705078125
9,-0.67138671875,0.18310546875,-0.3662109375,-0.02783203125,-0.93115234375,0.47705078125
10,-0.48828125,0.18310546875,-0.42724609375,-0.0263671875,-0.93115234375,0.47607421875
11,-0.3662109375,0.244140625,-0.42724609375,-0.02734375,-0.9296875,0.4755859375
12,-0.1220703125,0.3662109375,-0.3662109375,-0.0283203125,-0.931640625,0.4755859375
13,0.0,0.244140625,-0.42724609375,-0.0302734375,-0.93505859375,0.474609375
14,0.244140625,0.18310546875,-0.54931640625,-0.02978515625,-0.93310546875,0.4755859375
15,0.30517578125,0.1220703125,-0.6103515625,-0.02783203125,-0.92919921875,0.47705078125
16,0.30517578125,0.1220703125,-0.6103515625,-0.02978515625,-0.93115234375,0.47900390625
17,0.3662109375,0.18310546875,-0.67138671875,-0.02880859375,-0.9306640625,0.478515625
18,0.48828125,0.18310546875,-0.67138671875,-0.02783203125,-0.927734375,0.47607421875
19,0.3662109375,0.1220703125,-0.732421875,-0.029296875,-0.9287109375,0.47998046875
20,0.244140625,0.18310546875,-0.67138671875,-0.02734375,-0.92919921875,0.47705078125
21,0.244140625,0.244140625,-0.67138671875,-0.0283203125,-0.9287109375,0.47705078125
22,0.1220703125,0.30517578125,-0.54931640625,-0.02783203125,-0.9306640625,0.47802734375
23,0.06103515625,0.244140625,-0.54931640625,-0.02734375,-0.93310546875,0.47705078125
24,0.18310546875,0.244140625,-0.48828125,-0.02685546875,-0.93115234375,0.4775390625
25,0.244140625,0.30517578125,-0.6103515625,-0.029296875,-0.93115234375,0.4794921875
26,0.30517578125,0.18310546875,-0.54931640625,-0.0283203125,-0.93212890625,0.4794921875
27,0.30517578125,0.30517578125,-0.6103515625,-0.02685546875,-0.9306640625,0.47705078125
28,0.1220703125,0.244140625,-0.48828125,-0.0283203125,-0.9306640625,0.4775390625
29,-0.06103515625,0.18310546875,-0.54931640625,-0.0302734375,-0.931640625,0.4755859375
30,-0.1220703125,0.1220703125,-0.67138671875,-0.0302734375,-0.93212890625,0.474609375
31,0.0,0.06103515625,-0.6103515625,-0.02734375,-0.93212890625,0.474609375
32,-0.1220703125,-0.06103515625,-0.67138671875,-0.02734375,-0.92822265625,0.47998046875
33,-0.1220703125,-0.06103515625,-0.67138671875,-0.02587890625,-0.93115234375,0.4775390625
34,-0.1220703125,-0.06103515625,-0.6103515625,-0.025390625,-0.92919921875,0.4755859375
35,-0.1220703125,0.0,-0.6103515625,-0.02783203125,-0.92919921875,0.48095703125
36,-0.1220703125,-0.06103515625,-0.67138671875,-0.02783203125,-0.9326171875,0.47802734375
37,-0.1220703125,-0.06103515625,-0.67138671875,-0.02783203125,-0.93212890625,0.4765625
38,-0.06103515625,-0.06103515625,-0.67138671875,-0.029296875,-0.9306640625,0.47705078125
39,0.06103515625,-0.06103515625,-0.67138671875,-0.02880859375,-0.92919921875,0.47900390625
40,-0.1220703125,-0.06103515625,-0.54931640625,-0.02685546875,-0.92822265625,0.47802734375
41,-0.18310546875,0.06103515625,-0.6103515625,-0.02685546875,-0.92724609375,0.4794921875
42,-0.1220703125,0.18310546875,-0.6103515625,-0.0263671875,-0.9287109375,0.478515625
43,-0.18310546875,0.244140625,-0.42724609375,-0.02734375,-0.9287109375,0.4794921875
44,-0.18310546875,0.30517578125,-0.42724609375,-0.02783203125,-0.92822265625,0.478515625
45,-0.18310546875,0.30517578125,-0.48828125,-0.02783203125,-0.93017578125,0.4775390625
46,-0.18310546875,0.30517578125,-0.42724609375,-0.02685546875,-0.9306640625,0.4794921875
47,-0.18310546875,0.30517578125,-0.42724609375,-0.02978515625,-0.9296875,0.48193359375
48,-0.18310546875,0.3662109375,-0.3662109375,-0.0263671875,-0.93017578125,0.47900390625
49,-0.3662109375,0.3662109375,-0.42724609375,-0.0283203125,-0.93115234375,0.47607421875
50,-0.30517578125,0.42724609375,-0.48828125,-0.02734375,-0.9296875,0.47705078125
51,-0.30517578125,0.3662109375,-0.42724609375,-0.0263671875,-0.9306640625,0.4794921875
52,-0.244140625,0.3662109375,-0.3662109375,-0.02587890625,-0.9306640625,0.4765625
53,-0.30517578125,0.3662109375,-0.3662109375,-0.025390625,-0.93212890625,0.4755859375
54,-0.244140625,0.42724609375,-0.42724609375,-0.0263671875,-0.9326171875,0.478515625
55,-0.244140625,0.42724609375,-0.3662109375,-0.02783203125,-0.9296875,0.4794921875
56,-0.244140625,0.3662109375,-0.42724609375,-0.0283203125,-0.93115234375,0.47607421875
57,-0.1220703125,0.30517578125,-0.42724609375,-0.02783203125,-0.931640625,0.47607421875
58,-0.1220703125,0.18310546875,-0.42724609375,-0.02783203125,-0.93310546875,0.4775390625
59,0.0,0.18310546875,-0.42724609375,-0.02734375,-0.92919921875,0.47607421875
60,0.1220703125,0.30517578125,-0.42724609375,-0.02587890625,-0.9287109375,0.478515625
61,0.06103515625,0.3662109375,-0.42724609375,-0.02685546875,-0.93017578125,0.4794921875
62,0.0,0.48828125,-0.3662109375,-0.02734375,-0.9296875,0.48095703125
63,0.06103515625,0.3662109375,-0.30517578125,-0.02783203125,-0.93212890625,0.47900390625
64,0.06103515625,0.42724609375,-0.3662109375,-0.0283203125,-0.9296875,0.4765625
65,0.1220703125,0.3662109375,-0.3662109375,-0.02685546875,-0.9296875,0.478515625
66,-0.18310546875,0.3662109375,-0.3662109375,-0.0283203125,-0.92919921875,0.47509765625
67,-0.18310546875,0.3662109375,-0.42724609375,-0.029296875,-0.9296875,0.4765625
68,-0.06103515625,0.48828125,-0.3662109375,-0.02734375,-0.9296875,0.47998046875
69,-0.06103515625,0.54931640625,-0.30517578125,-0.0283203125,-0.9287109375,0.478515625
70,0.0,0.48828125,-0.30517578125,-0.0263671875,-0.9326171875,0.47705078125
71,0.0,0.48828125,-0.3662109375,-0.02734375,-0.9306640625,0.47705078125
72,0.0,0.48828125,-0.30517578125,-0.02783203125,-0.927734375,0.47998046875
73,-0.06103515625,0.48828125,-0.3662109375,-0.02587890625,-0.927734375,0.47998046875
74,-0.06103515625,0.54931640625,-0.3662109375,-0.02587890625,-0.93017578125,0.48095703125
75,0.0,0.6103515625,-0.30517578125,-0.02783203125,-0.9287109375,0.47802734375
76,-0.1220703125,0.6103515625,-0.3662109375,-0.02734375,-0.92822265625,0.47900390625
77,-0.1220703125,0.54931640625,-0.48828125,-0.029296875,-0.9306640625,0.4755859375
78,-0.06103515625,0.48828125,-0.42724609375,-0.02978515625,-0.93212890625,0.478515625
79,0.1220703125,0.54931640625,-0.42724609375,-0.0283203125,-0.93115234375,0.4794921875
80,0.1220703125,0.48828125,-0.3662109375,-0.02783203125,-0.9296875,0.47705078125
81,0.244140625,0.48828125,-0.3662109375,-0.02783203125,-0.9306640625,0.47705078125
82,0.30517578125,0.48828125,-0.42724609375,-0.029296875,-0.93115234375,0.4765625
83,0.1220703125,0.3662109375,-0.42724609375,-0.02978515625,-0.92822265625,0.4794921875
84,0.06103515625,0.42724609375,-0.42724609375,-0.02685546875,-0.92822265625,0.48095703125
85,0.0,0.48828125,-0.42724609375,-0.02734375,-0.9267578125,0.47998046875
86,-0.06103515625,0.54931640625,-0.3662109375,-0.0283203125,-0.92724609375,0.4794921875
87,-0.06103515625,0.732421875,-0.30517578125,-0.02734375,-0.9306640625,0.47900390625
88,-0.18310546875,0.67138671875,-0.30517578125,-0.02880859375,-0.92919921875,0.478515625
89,-0.06103515625,0.732421875,-0.3662109375,-0.0302734375,-0.92919921875,0.47900390625
90,-0.18310546875,0.732421875,-0.3662109375,-0.029296875,-0.93115234375,0.4775390625
91,-0.1220703125,0.54931640625,-0.3662109375,-0.02880859375,-0.931640625,0.47802734375
92,-0.06103515625,0.48828125,-0.3662109375,-0.02685546875,-0.9306640625,0.4775390625
