n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0,0.18310546875,0.06103515625,0.8544921875,-0.24755859375,-1.01708984375,0.30029296875
1,-0.1220703125,-0.6103515625,0.54931640625,-0.2509765625,-1.0205078125,0.29345703125
2,0.67138671875,-0.30517578125,0.3662109375,-0.25537109375,-1.0185546875,0.30322265625
3,-0.244140625,-0.54931640625,0.18310546875,-0.2392578125,-1.0068359375,0.31103515625
4,-0.18310546875,-0.244140625,0.732421875,-0.2451171875,-1.01904296875,0.298828125
5,0.244140625,-0.30517578125,0.54931640625,-0.2451171875,-1.01513671875,0.30029296875
6,0.30517578125,0.30517578125,0.48828125,-0.24365234375,-1.0166015625,0.306640625
7,0.3662109375,1.220703125,0.18310546875,-0.23974609375,-1.0166015625,0.30517578125
8,0.06103515625,2.685546875,0.18310546875,-0.24853515625,-1.0087890625,0.31005859375
9,-0.732421875,3.90625,-0.732421875,-0.24658203125,-1.01025390625,0.2958984375
10,-2.01416015625,4.08935546875,-0.244140625,-0.23388671875,-1.01318359375,0.31591796875
11,-1.708984375,4.150390625,-0.54931640625,-0.25,-1.0283203125,0.283203125
12,-0.3662109375,4.0283203125,-0.244140625,-0.24755859375,-1.02392578125,0.29541015625
13,0.30517578125,3.84521484375,0.0,-0.240234375,-1.01220703125,0.29931640625
14,0.91552734375,3.72314453125,0.3662109375,-0.23779296875,-1.01416015625,0.30908203125
15,1.0986328125,2.99072265625,0.732421875,-0.25048828125,-1.0126953125,0.3037109375
16,1.0986328125,2.3193359375,0.79345703125,-0.2490234375,-1.01611328125,0.3076171875
17,0.30517578125,2.25830078125,0.732421875,-0.24267578125,-1.0107421875,0.31298828125
18,-0.244140625,1.52587890625,0.79345703125,-0.2529296875,-1.00634765625,0.2978515625
19,-1.3427734375,0.91552734375,0.67138671875,-0.24951171875,-1.005859375,0.3076171875
20,-1.46484375,0.54931640625,0.3662109375,-0.2490234375,-1.017578125,0.2958984375
21,-1.52587890625,-0.244140625,-0.06103515625,-0.251953125,-1.0126953125,0.2978515625
22,-1.8310546875,-0.18310546875,0.1220703125,-0.2470703125,-1.0146484375,0.294921875
23,-1.5869140625,-1.220703125,0.244140625,-0.24169921875,-1.0185546875,0.310546875
24,-1.40380859375,-0.91552734375,-0.3662109375,-0.244140625,-1.01904296875,0.28955078125
25,-1.8310546875,-1.15966796875,0.06103515625,-0.2470703125,-1.01025390625,0.30419921875
26,-1.77001953125,-0.67138671875,0.18310546875,-0.24755859375,-1.02099609375,0.29736328125
27,-1.708984375,-0.732421875,-0.1220703125,-0.2470703125,-1.0146484375,0.29248046875
28,-1.46484375,-0.6103515625,-0.244140625,-0.248046875,-1.01806640625,0.296875
29,-1.220703125,0.06103515625,-0.30517578125,-0.24365234375,-1.013671875,0.29638671875
30,-0.3662109375,0.244140625,-0.54931640625,-0.2421875,-1.01513671875,0.30224609375
31,-0.06103515625,1.0986328125,-0.42724609375,-0.251953125,-1.01611328125,0.29931640625
32,-0.244140625,1.5869140625,-0.42724609375,-0.2490234375,-1.01611328125,0.302734375
33,-0.79345703125,2.0751953125,-0.6103515625,-0.24658203125,-1.00927734375,0.30224609375
34,-1.28173828125,1.953125,-0.54931640625,-0.244140625,-1.02001953125,0.29248046875
35,-0.67138671875,2.197265625,-0.91552734375,-0.23876953125,-1.0146484375,0.2939453125
36,-1.5869140625,1.8310546875,-0.67138671875,-0.24267578125,-1.00927734375,0.30419921875
37,-1.220703125,1.89208984375,-0.6103515625,-0.24462890625,-1.013671875,0.30029296875
38,-1.15966796875,1.3427734375,-0.18310546875,-0.23876953125,-1.013671875,0.30615234375
39,-0.3662109375,0.30517578125,0.06103515625,-0.23876953125,-1.01123046875,0.30078125
40,-0.1220703125,0.42724609375,-0.1220703125,-0.2451171875,-1.01806640625,0.296875
41,0.3662109375,-0.18310546875,0.244140625,-0.25244140625,-1.02392578125,0.2919921875
42,0.54931640625,-0.244140625,0.1220703125,-0.2392578125,-1.021484375,0.291015625
