n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0,-3.5400390625,-1.52587890625,-9.46044921875,-0.04052734375,-1.02685546875,0.07421875
1,-4.82177734375,-2.0751953125,-9.3994140625,-0.01611328125,-1.03271484375,0.07373046875
2,-5.55419921875,-3.5400390625,-8.056640625,-0.0498046875,-1.02978515625,0.046875
3,-5.79833984375,-6.04248046875,-9.521484375,-0.0244140625,-1.03076171875,0.048828125
4,-7.01904296875,-5.79833984375,-8.1787109375,-0.03173828125,-1.0283203125,0.0419921875
5,-8.30078125,-5.43212890625,-7.75146484375,-0.0625,-1.03125,0.02197265625
6,-7.62939453125,-10.43701171875,-9.521484375,-0.05126953125,-1.03125,0.03369140625
7,-7.080078125,-11.65771484375,-11.77978515625,-0.0126953125,-1.033203125,0.0576171875
8,-6.9580078125,-7.87353515625,-12.63427734375,-0.00146484375,-1.0322265625,0.04736328125
9,-8.36181640625,-4.638671875,-8.72802734375,-0.0283203125,-1.03515625,0.0205078125
10,-8.544921875,-3.72314453125,-7.14111328125,-0.015625,-1.03076171875,0.0361328125
11,-8.544921875,-4.638671875,-6.53076171875,-0.04248046875,-1.02685546875,0.03759765625
12,-9.1552734375,-6.9580078125,-7.6904296875,-0.02734375,-1.03515625,0.0517578125
13,-9.94873046875,-7.14111328125,-7.99560546875,-0.00146484375,-1.03369140625,0.04833984375
14,-11.16943359375,-4.2724609375,-7.2021484375,0.0,-1.0341796875,0.04248046875
15,-11.5966796875,-2.01416015625,-5.9814453125,-0.0185546875,-1.0380859375,0.02392578125
16,-10.009765625,-2.3193359375,-6.8359375,-0.0380859375,-1.03271484375,0.02197265625
17,-10.19287109375,-1.708984375,-9.94873046875,-0.021484375,-1.03125,0.04052734375
18,-12.39013671875,2.44140625,-9.3994140625,-0.01318359375,-1.0380859375,0.02392578125
19,-13.24462890625,3.2958984375,-5.859375,-0.03271484375,-1.046875,0.0
20,-10.68115234375,0.48828125,-7.32421875,-0.001953125,-1.0322265625,0.0244140625
21,-11.1083984375,2.685546875,-8.544921875,0.00244140625,-1.033203125,0.03173828125
22,-11.23046875,4.0283203125,-7.62939453125,0.00341796875,-1.03466796875,0.02587890625
23,-10.43701171875,2.38037109375,-6.34765625,0.00830078125,-1.0302734375,0.03857421875
24,-9.94873046875,2.99072265625,-6.53076171875,0.00390625,-1.02587890625,0.0234375
25,-10.009765625,1.8310546875,-5.859375,0.01708984375,-1.03955078125,0.001953125
26,-7.568359375,3.60107421875,-5.2490234375,-0.02783203125,-1.0244140625,-0.0166015625
27,-8.60595703125,3.5400390625,-6.103515625,0.00341796875,-1.03955078125,-0.01123046875
